"","Bacus1.cases","Bacus1","Bacus1"
"110",1510.40337367525,2425.02701437404,2264.21285135418
"111",1513.10467936354,2410.12653664304,2263.79693741069
"112",1509.17137800377,2387.67075506995,2271.41264311734
"113",1503.56482866404,2361.94420690512,2275.17666484482
"114",1501.06838831457,2375.1497415082,2281.99505626466
"115",1503.85571022079,2365.84226181046,2282.32581989549
"116",1497.11908709772,2360.91302990357,2284.61671178339
"117",1483.82990796857,2344.00677659702,2299.84437455882
"118",1472.03860216917,2353.18128279393,2308.22949267062
"119",1473.13199859662,2377.3114696309,2289.89027577502
"120",1487.2312248633,2371.90419623352,2306.60319521247
"121",1496.71874391497,2337.92317011778,2300.80215727378
"122",1492.70438328871,2345.66311230384,2286.29788621965
"123",1489.43241375222,2347.85573783215,2301.77469480195
"124",1499.41227832503,2337.50508210116,2304.41399811263
"125",1505.30238718965,2339.06376507201,2299.09846942959
"126",1513.49427598333,2338.66534642393,2304.3440445598
"127",1504.48834481479,2362.62717424975,2284.26053235529
"128",1484.75040531789,2346.57152458462,2289.97218423204
"129",1468.22918393319,2341.5883934389,2307.08749421924
"130",1477.83517452453,2357.85251239799,2295.53586139821
"131",1502.52105841376,2388.62914252611,2270.99661603876
"132",1546.58126049043,2370.03211661581,2277.81433450864
"133",1567.50771673037,2323.08393133935,2271.37994459094
"134",1564.7678850922,2293.39122393457,2227.46157894721
"135",1554.1897402211,2286.83043918946,2226.59373662371
"136",1561.58064082148,2276.44524902257,2225.51885491354
"137",1531.31078735982,2237.89624364919,2215.54460886906
"138",1513.27954088506,2218.28549276919,2244.39724495374
"139",1517.42809228,2214.14318163811,2232.02168129918
"140",1513.69553105844,2215.00654078015,2234.52128368468
"141",1518.33529504968,2189.63239961711,2277.64459098594
"142",1529.25168567355,2195.14693320775,2299.02060150325
"143",1522.98051066101,2213.89053398328,2305.21108027433
"144",1517.98182782867,2230.60985185247,2310.41503940697
"145",1515.08418211713,2232.24692327049,2294.08534936534
"146",1499.12995924919,2276.49091443263,2275.06475142039
"147",1510.20499594113,2306.50695040769,2248.68331895666
"148",1518.7998385453,2323.00419599026,2255.04421258813
"149",1532.22838587838,2327.89791348473,2276.99567972991
"150",1530.58428323564,2324.12569519617,2297.20307022444
"151",1537.26126481811,2332.48889170918,2285.87679032953
"152",1556.80952043303,2325.73028939064,2269.74086690447
"153",1549.2210668472,2317.82407264986,2273.7434095037
"154",1536.7785772004,2302.81553824027,2286.95499888802
"155",1519.79976884683,2325.60378554833,2319.96572694104
"156",1499.37835099426,2319.16044930018,2345.32655797188
"157",1493.61530758452,2303.96685070949,2348.56893920349
"158",1491.61974877542,2268.83752905389,2341.22236059389
"159",1485.73791512794,2239.16654438776,2349.41623127363
"160",1491.98927159052,2225.65265573295,2361.85793073179
"161",1499.62769334588,2221.19168680689,2380.53828704301
"162",1501.36227327233,2203.23498368971,2372.00140601399
"163",1482.1416259977,2200.41253394344,2334.73518524413
"164",1483.0736683286,2200.14773212618,2276.8090879331
"165",1481.73694863847,2210.86754096371,2273.89072671148
"166",1482.90573232221,2225.06841567874,2273.40515993515
"167",1497.37367657475,2204.36292869926,2279.51041944654
"168",1522.76302462164,2202.74161837661,2270.165860015
"169",1534.00729153585,2197.34755011321,2242.50578748733
"170",1517.76918025204,2216.41654226525,2222.300188439
"171",1515.27327060761,2216.64927837496,2211.35263366877
"172",1511.03162434613,2210.1395599649,2203.34548705464
"173",1504.16948039571,2188.70871590464,2196.10248325051
"174",1516.69599577621,2166.82917900012,2158.64329660554
"175",1530.70328815711,2170.90557587731,2143.89936493674
"176",1548.15315797817,2200.66875105167,2172.08084182882
"177",1552.61755483641,2244.99521419908,2213.98114639202
"178",1544.19894906718,2264.52799964497,2255.35271868151
"179",1563.92018388505,2263.94714430568,2262.64040964075
"180",1572.77138943206,2282.5172238345,2274.81876335234
"181",1584.07869290944,2293.05613874643,2268.42768464924
"182",1573.44028627739,2286.64476309755,2258.89943192498
"183",1558.17698845389,2311.73382061494,2275.33901590798
"184",1554.04895164682,2339.35684451215,2298.97195126202
"185",1576.17761434422,2356.9027966713,2296.30609681791
"186",1614.02952277823,2378.27232879994,2278.81589732683
"187",1621.20085191626,2398.22031098535,2288.51631776726
"188",1604.49480597782,2408.67373959574,2315.82853828585
"189",1594.67800650661,2416.78952564838,2310.34370480077
"190",1583.21778026197,2427.68751162972,2275.49263507464
"191",1565.44382505887,2403.50234472671,2232.40699757737
"192",1558.80977321475,2394.82390731954,2211.46882999649
"193",1537.99654600639,2381.16738195809,2207.61879781491
"194",1521.30275692857,2352.9340090266,2181.68177223456
"195",1528.41575576432,2344.08227338789,2199.94392174099
"196",1535.86355405158,2324.29157501194,2225.44924655199
"197",1551.21522436856,2305.99485818399,2223.18920180922
"198",1584.43895217677,2297.20144175805,2197.77722620515
"199",1586.06081785597,2310.20472138532,2219.91982756369
"200",1578.93178470002,2309.40352899736,2200.48526164984
"201",1561.03924147159,2334.62543005291,2152.47766075596
"202",1527.88970086073,2356.06957235502,2112.84128040165
