"","wm_m1_acus.cases","wm_m1_acus","wm_m1_acus"
"146",5.5037802303818,5.37604129164891,5.64069510561113
"147",5.59469884296026,5.4987272482729,5.63153633815898
"148",5.75016274692512,5.5361814011909,5.61964819773379
"149",5.60487015863374,5.66533115292828,5.57843125157381
"150",5.58889465573135,5.69459529212219,5.38232295469797
"151",5.7424921960729,5.77702706118048,5.48548653124181
"152",5.6993129047472,5.8539483603493,5.43674959030731
"153",5.87007042159957,5.76643617706152,5.53926012507458
"154",5.93218576984181,5.71600024212889,5.55873532036643
"155",5.88742820490324,5.75140192690988,5.5601197908466
"156",5.62965771062343,5.91179342194747,5.60849858829684
"157",5.6326380822545,5.85998269424196,5.66148715861504
"158",5.65338223282218,5.76355444255349,5.62275909687664
"159",5.59021710900871,5.64223244600785,5.70572032983951
"160",5.55551401275793,5.55513375975848,5.64516930801041
"161",5.63004422218979,5.52396405470415,5.66853712026062
"162",5.72020206804943,5.63637594685428,5.82267952114066
"163",5.59930953692981,5.74719395805461,5.88012748431443
"164",5.46325749796332,5.74939998135989,5.92084788684034
"165",5.58746191618051,5.71057104665409,5.917710865268
"166",5.47766059933825,5.63801216471622,5.86481568561845
"167",5.6539391517361,5.67549041499617,5.87073422653263
"168",5.62304809630678,5.51269301175547,5.82242459705506
"169",5.52399352230932,5.57736239082915,5.79416088419572
"170",5.54371117539435,5.65473411494126,5.78328169016634
"171",5.6290626399678,5.66938632113618,5.74318603681358
"172",5.77855687002572,5.63261681451402,5.62026772006355
"173",5.77382679839291,5.64307197722326,5.54266263564696
"174",5.48224544539863,5.60565990305554,5.51820907000418
"175",5.48164399987735,5.49089971776476,5.43320820831797
"176",5.49787403495695,5.53700936323002,5.37384356810777
"177",5.41558205463775,5.46569595431347,5.35335225303384
"178",5.46304494629653,5.45007669790247,5.40305063907243
"179",5.4168614009665,5.43323414811168,5.52467568176144
"180",5.38887104966488,5.24861231076375,5.45119764135999
"181",5.53302316203396,5.32444881151565,5.60252529018478
"182",5.57337327547908,5.33279133277874,5.77658289244062
"183",5.5927037212327,5.35526779878483,5.77597451399254
"184",5.84781744980452,5.4064832995,5.7415436503042
"185",5.91793481949084,5.50668287742411,5.84466378324022
"186",5.89316127824324,5.56775354961495,5.87027030523731
"187",5.89488773306537,5.78133601274996,5.69722639027309
"188",5.62072208695963,5.94569169715952,5.58856472854357
"189",5.5837825293643,5.87616279398436,5.61854203839059
"190",5.60264518300368,5.78720785394276,5.66944281289122
"191",5.66166657189325,5.82272032465352,5.70802322262256
"192",5.69560741645395,5.79119338662007,5.6940770076954
"193",5.61050300034269,5.71867147295045,5.6727568954206
"194",5.55836782284765,5.50537456900275,5.70486843660848
"195",5.51878507199921,5.53708599655538,5.78894101799314
"196",5.53931602950812,5.67713846531462,5.89166975556615
"197",5.63707994915625,5.64165480052081,5.81059689112876
"198",5.77909975168926,5.57053151812552,5.89706501089589
"199",5.91072878974079,5.43940590548733,5.79501424965096
"200",5.78772501717257,5.54591864283657,6.00806277681444
"201",5.78799335256874,5.71389529671318,5.840355492672
"202",5.7015224581363,5.81999714169014,5.53824400646779
"203",5.37931834740801,5.78082813174032,5.41904694561771
"204",5.43826796119039,5.58032263856889,5.43998664802844
"205",5.56157805658001,5.6461451004968,5.43648268733291
"206",5.74015752450864,5.59327219216586,5.40415439526329
"207",5.6219346224325,5.58068632443544,5.33290838289675
"208",5.59346271143855,5.65594722031979,5.35713554971418
"209",5.73070775476154,5.70444087045798,5.41291779577082
"210",5.56540675659932,5.82431041673581,5.44015004010549
"211",5.6182833931796,5.77993021881562,5.51997567524452
"212",5.65238310414812,5.82770628506187,5.62327346327606
"213",5.71347940562875,5.74275623956969,5.68888289581577
"214",5.81574653732823,5.84880723376456,5.79015564696214
"215",5.78372147076428,5.99401708689534,5.8803989294819
"216",5.75744588961932,6.01300639118568,5.85540273297293
"217",5.6479307598158,5.78006930969675,5.93945855315905
"218",5.76851486586087,5.80062949872926,6.00518182610795
"219",5.80224476430279,5.74471577106985,5.82474785252965
"220",5.76565278340731,5.63097747131209,5.70205009567268
"221",5.78135650625169,5.61932388338514,5.77757482123256
"222",5.68260319912212,5.57097650961697,5.76031672827743
"223",5.63553765163466,5.53886237740451,5.61745161983515
"224",5.6103430267704,5.49217571733174,5.58676520104198
"225",5.68622864458426,5.3903483933461,5.56847144006201
"226",5.75244106682351,5.40482885568531,5.55369971460424
"227",5.71486695380061,5.364757513861,5.56666683242661
"228",5.82928978095191,5.4239865656602,5.45012778806542
"229",5.66310637674136,5.60082345827956,5.4974962001085
"230",5.48069937969557,5.64808541496692,5.49977390020223
"231",5.50392040080427,5.62129527643345,5.52510728941534
"232",5.73201677749847,5.47257395528801,5.59619598687099
"233",5.79218566281658,5.57273841722679,5.40641355105067
"234",5.68828409948902,5.55633292999983,5.4879289471377
