"","YT1.cases","YT1","YT1"
"114",3434.12108662998,4830.34138275417,6651.62896224526
"115",3439.81146848272,4778.42452595567,6626.43247116096
"116",3437.05028917589,4726.49485822009,6577.37030085022
"117",3462.95031789327,4690.55505629942,6532.11343325663
"118",3518.11364927277,4663.70842261837,6512.78179773354
"119",3553.48145635035,4638.59144472356,6508.00259655625
"120",3511.22738901919,4631.42425840114,6489.29723676474
"121",3384.0859077232,4678.43659810801,6462.4267193448
"122",3233.10741226188,4791.07622522411,6475.52475124046
"123",3150.21764252905,4909.11586513782,6560.29897212308
"124",3184.89859286862,4965.94806743291,6683.3311767221
"125",3313.42675371287,4960.74515859964,6783.75581553959
"126",3469.15433832929,4938.20893781315,6834.83002874903
"127",3593.45015147789,4915.02111741458,6831.78748412219
"128",3659.32570340269,4869.28601702629,6766.03152790002
"129",3661.06234414517,4797.85946896895,6651.74245304653
"130",3616.38790251331,4711.66916146026,6529.80242078867
"131",3562.11636360592,4629.14970806452,6425.94507465617
"132",3529.25201464584,4540.53283710903,6330.22987741486
"133",3523.57176624435,4469.66335946243,6219.63108972838
"134",3535.32973436676,4420.52445205809,6110.10798862489
"135",3547.33153804809,4369.56921782301,6075.91371567298
"136",3540.45395812636,4328.52494371277,6176.52102542153
"137",3499.89153750889,4324.26878992775,6381.41072054641
"138",3435.78057026067,4382.24914876793,6597.76414099718
"139",3383.71854498693,4472.87809576655,6741.09562680721
"140",3367.64528165854,4565.19114735198,6767.880383586
"141",3374.53892276305,4632.89549132324,6691.5627501563
"142",3386.74649838213,4688.27393026031,6586.97245771945
"143",3413.18647165419,4719.28083844444,6537.09367778355
"144",3474.71054492917,4718.3077889243,6554.62367043539
"145",3565.35172684223,4710.96402173849,6574.6275503502
"146",3646.23459013175,4747.383547338,6530.27719365426
"147",3675.35642263545,4833.82254920684,6424.21416262533
"148",3639.93709035124,4917.87433508408,6324.43248975759
"149",3567.33945661293,4928.64597321975,6302.11851781142
"150",3492.40548462373,4857.69959915354,6371.17850679398
"151",3436.63093816697,4739.17562545232,6477.18294318978
"152",3416.39986138397,4615.96624147702,6552.05430930399
"153",3436.29875272815,4522.80247533022,6583.5547946983
"154",3472.23415743291,4470.27267704571,6621.43238832579
"155",3479.72118125988,4466.83237281781,6716.73185916011
"156",3438.77677683386,4495.81636838084,6853.91811494717
"157",3367.931710126,4533.25026671939,6944.39293022796
"158",3309.59699121031,4536.25039895815,6912.28174394248
"159",3304.31260024601,4502.02454994563,6785.99413045921
"160",3358.3462422405,4474.32676766258,6671.881669576
"161",3430.85585235526,4496.37011400043,6643.34862332302
"162",3475.03631118713,4552.24940861092,6681.91104329389
"163",3482.94149498304,4588.68193446685,6720.9631565259
"164",3472.30544174343,4556.67904219324,6723.8490118195
"165",3453.03726836825,4457.28029078196,6706.19456233983
"166",3435.72952769469,4354.79197201292,6689.47877738218
"167",3436.62640168008,4316.37394255698,6650.74417334201
"168",3461.22315136872,4376.83854730041,6534.17474004033
"169",3487.491708126,4476.25241709025,6325.12710733158
"170",3496.52276687455,4554.62920526606,6099.76179290645
"171",3500.6866048183,4580.85490868762,5973.13816164919
"172",3520.49007875801,4560.42444239526,5996.54638714803
"173",3546.0769234547,4510.6379311623,6117.75835871418
"174",3537.68702351071,4461.0755790111,6237.53079786312
"175",3474.80965814046,4437.54205085259,6293.79173087268
"176",3404.83465617347,4440.92921337815,6296.74454644636
"177",3409.58874751696,4486.56651375598,6301.60081503101
"178",3518.98606256889,4577.02863156871,6350.94684023535
"179",3675.22673944255,4702.02666171469,6434.73599499767
"180",3789.39143789785,4845.04604497543,6512.62386670083
"181",3826.31022900281,4963.45905314274,6576.73276533332
"182",3814.44898929498,5049.39413166989,6661.3927667335
"183",3790.40336015803,5097.90116123469,6774.84332290755
"184",3756.29810260503,5097.52291541528,6858.64283020562
"185",3689.95203680115,5047.69269678756,6843.3736058159
"186",3580.33132229315,4978.76003386961,6717.81586132063
"187",3450.79038314405,4904.20678660636,6523.59173911416
"188",3352.45307503616,4816.77980966013,6322.11081378684
"189",3336.25675905054,4710.2984044773,6186.62047061386
"190",3422.88740725072,4604.10745127489,6166.41023297579
"191",3575.06025209161,4542.8767101861,6237.94720476315
"192",3714.84673983753,4570.89871645793,6347.28834744584
"193",3772.97589506248,4662.09945808373,6484.27282479031
"194",3728.91853064073,4758.21720544452,6640.02225058577
"195",3622.01779893821,4820.4540054481,6728.81111056878
"196",3522.75366023422,4858.65459792248,6652.29329399596
"197",3482.04365246945,4877.45366677452,6430.94571632677
"198",3500.39402744035,4842.28855884607,6197.05421273065
"199",3539.95442591413,4762.64220923592,6057.49141820046
"200",3560.69965740352,4695.60351258931,6011.24360353254
"201",3542.57646519824,4699.99946313133,6001.47961696743
"202",3496.47667124382,4741.19040644662,5998.71088574788
"203",3455.73729746303,4736.30262310445,6006.85429933234
"204",3448.97647344482,4674.49080605918,6020.98420665729
"205",3488.54259822387,4615.3852672991,6021.16202665225
"206",3566.17113817914,4642.68187114963,6008.6727479769
"207",3653.44843560338,4742.25854546779,6029.62756359006
"208",3695.77531943065,4827.77380444511,6140.54844354196
"209",3653.66814533199,4833.49503760837,6331.68748419389
"210",3560.16105293332,4743.40135693547,6515.50609816417
"211",3488.88446491221,4605.00619732148,6622.18434910795
"212",3474.41038025811,4473.26725606618,6667.37100670289
"213",3491.8965428749,4401.88581544088,6699.58269689761
"214",3512.27654697382,4380.53000547897,6724.765395838
"215",3526.93018559027,4365.33177896834,6710.78676498685
"216",3524.82697944735,4322.84072815392,6637.8854229312
"217",3497.51442262255,4267.37708610172,6519.59650086268
"218",3456.90108261584,4222.60764845811,6388.55930767375
"219",3426.50811133817,4234.09432772239,6278.61570917948
"220",3409.04248413299,4291.85869046299,6207.14205143466
"221",3382.85454306355,4340.40367216633,6160.36939183068
"222",3340.19125442404,4354.18418153297,6107.02069305765
"223",3307.10644156959,4353.71780539982,6040.23129457766
"224",3314.37055828014,4376.88876590974,6001.28321329812
"225",3360.14568200604,4436.12309066776,6040.54859444738
"226",3415.64579145833,4512.43780698941,6141.39555095546
"227",3448.75656005526,4589.90313806458,6216.79246550795
"228",3431.79536133118,4649.68122337967,6216.49745992763
"229",3361.46185442758,4674.15514809384,6192.01942596011
"230",3273.00876063307,4656.58846637177,6212.25152648913
"231",3220.67971208606,4592.01054846691,6272.27801625532
"232",3236.88889541896,4514.45513777823,6328.72647431379
"233",3313.27184059411,4461.18665719108,6370.05455250855
"234",3401.50265245433,4489.56190200135,6412.32333836314
"235",3434.61994266665,4593.54105328958,6459.1368277906
"236",3384.68028189004,4705.54129216244,6499.01827652257
"237",3296.77520346278,4773.31986631594,6531.21767106253
"238",3243.63963333635,4782.91119627837,6564.64368078916
"239",3250.09827009697,4741.06709655011,6586.2665242699
"240",3285.51546014118,4661.746815505,6551.27173898517
"241",3308.62297077084,4583.64914197332,6430.98079312223
"242",3297.35192147677,4552.739857618,6271.98658964011
"243",3253.38282825905,4596.87740608287,6168.48437508562
"244",3197.4394822592,4678.25231694035,6163.35458239152
"245",3164.45072647959,4758.76818118777,6215.09877139982
"246",3182.72665429529,4772.79478128175,6263.67690555622
"247",3252.18611146148,4715.33823716722,6287.10040826095
"248",3343.29893133266,4632.65881368283,6297.86774171705
"249",3426.54119850598,4576.48252043105,6324.82046108383
"250",3499.4203286245,4597.71688034304,6400.09154007956
"251",3570.16007504472,4702.44120360703,6523.07949683706
"252",3629.32626699607,4828.04759101116,6626.68386452286
"253",3658.48811399734,4879.9519114319,6622.90303933886
