"","YT.cases","YT","YT"
"85",8494.02793181266,14125.2383269265,13482.6396589258
"86",8537.60496535,14022.186737676,13476.363006285
"87",8585.83732145002,13976.9900733439,13472.6363379664
"88",8612.42118093653,13921.1878981676,13470.7427145701
"89",8623.33780819935,13887.9304930372,13426.4381041096
"90",8641.70175543284,13887.8232288192,13286.3209440256
"91",8666.58609697151,13954.0095098998,13111.1868800921
"92",8663.92978552792,14016.6546041507,12957.8089738108
"93",8620.26542935825,14131.7362164761,12919.6447939568
"94",8574.53077601354,14241.093401095,13079.3507976224
"95",8569.48286931537,14291.6369402373,13337.7962816093
"96",8603.70207798151,14292.8230234456,13592.3857730118
"97",8632.00210879596,14306.4249236475,13743.3664997637
"98",8610.31766425091,14354.6343802936,13777.9399779071
"99",8556.4716476315,14441.8373959904,13714.8989695665
"100",8528.02750167798,14550.9039301078,13621.7912605737
"101",8535.33542847315,14734.7864833036,13619.5297015863
"102",8549.66742723096,14840.1267984858,13707.4088578949
"103",8560.2019275835,14872.1247107165,13808.8298846871
"104",8568.94320396882,14812.5306054228,13864.690173794
"105",8585.76055663781,14749.2306262285,13791.5696169762
"106",8613.90745155156,14722.0229725722,13575.4532127978
"107",8637.9806665192,14757.3066819673,13342.0435820474
"108",8636.35594104739,14811.1663493994,13212.0510194315
"109",8598.22275447963,14930.4473765634,13206.4078032608
"110",8532.53925018902,15039.3506059408,13273.2546007742
"111",8472.55686228324,15042.1737786458,13367.6382562882
"112",8442.24311922753,15001.9497966388,13483.7849042124
"113",8434.7066207568,14902.2615367976,13581.6305938749
"114",8425.5046879699,14857.9393418859,13619.2048988371
"115",8411.6091815868,14802.8315982915,13620.9903113787
"116",8419.25677825417,14727.1130439059,13561.3202934119
"117",8483.92599709038,14692.1827804572,13458.9886848099
"118",8580.97489490566,14669.9757748256,13406.2469008209
"119",8646.60641043953,14635.3314804827,13365.7209728952
"120",8622.8189462244,14596.7510137014,13323.7160360192
"121",8508.96920803978,14578.9178864162,13319.6929294983
"122",8367.23701128918,14659.5694548246,13346.3077441798
"123",8271.12495801365,14759.780738503,13438.3384059017
"124",8245.14207151851,14803.1766325244,13613.5102382884
"125",8271.1873516405,14802.9692431611,13804.3010875021
"126",8322.28947201998,14811.8969431952,13964.910573569
"127",8398.4341538,14836.3616795086,14020.4484159744
