"","SBT.cases","SBT","SBT"
"239",9363592.69926612,13327717.4580342,13373995.1648985
"240",9156621.89012458,13364404.3956991,13276462.4869984
"241",9155515.95423427,13213665.1670433,13312865.9506496
"242",9092486.79967875,13351619.5064356,13352912.084986
"243",9044659.80411242,13326408.6488167,13401547.2326863
"244",9133023.11583501,13490833.2142793,13349693.9428596
"245",9028645.36608463,13732254.2038661,13404621.3019508
"246",8977892.05481613,13838607.4707562,13409935.2141428
"247",8958779.35725257,13583464.2968972,13620374.4872472
"248",9118340.83578771,13829850.8147509,13810049.249243
"249",9115764.16306592,13917415.8383356,13612648.1448443
"250",9005297.32949442,13953045.3410087,13475993.3537954
"251",9064665.90089104,14108070.7867635,13739961.9503571
"252",8947877.62433046,14102811.5875975,13869887.2498594
"253",8814494.3991345,14132703.8306909,13749935.680018
