"","BT.cases","BT","BT"
"187",10490341.2577784,15412835.3423598,15330372.0498698
"188",10561641.4889119,15394177.2213174,15225953.8739847
"189",10552239.5305787,15329198.9901431,15248168.1755319
"190",10515249.0360526,15244117.136088,15006147.6689938
"191",10582077.1234595,15179895.5098407,14837942.5972076
"192",10705251.235722,15413426.1223652,14989126.5326871
"193",10699292.6179819,15648442.6081733,15138943.7770176
"194",10581889.5002985,15761741.1726308,15382432.8361496
"195",10750048.0468464,15761708.1128087,15429855.0052164
"196",10667437.761088,15658540.9697115,15393195.496539
"197",10839202.9774058,15848311.0682301,15420326.0086881
"198",10764143.414486,15672764.9703064,15398509.3010476
"199",10621159.2644515,15853831.7514548,15495739.6994095
"200",10702294.9630335,15975005.1052498,15585363.7215181
"201",10822667.6671512,16079328.1999026,15635997.6779255
"202",11050724.9639529,16141558.3935467,15551355.6766249
"203",11189151.4113131,16348567.6947554,15494156.9780795
"204",10911084.0293761,16535955.9692724,15621071.4662955
"205",10872479.0760271,16493811.8539282,15589761.8334914
"206",10820064.9225995,16600003.8191822,15410565.7734989
"207",10696532.3973788,16432691.9165448,15190927.1175403
"208",10753394.0078038,16374843.6856933,15039843.8697935
"209",10581791.7208601,16377406.6630675,15125805.1898376
"210",10456168.4726292,15966896.1425819,14868180.1706319
"211",10507413.7454566,15993695.7192105,15034775.0189238
"212",10537641.3772589,15958534.1423818,15301230.4740767
"213",10577074.4602558,15835522.1076122,15248078.2321716
"214",10860261.1466395,15722762.2312216,15096314.9913831
"215",10915382.2206809,15724492.500945,15228755.3037475
"216",10805844.8775248,15661094.9359165,15331074.4122333
"217",10795288.1688528,15892265.8431263,15017049.9183747
"218",10528877.9553931,16097695.81293,14647900.1662688
"219",10462195.3727016,15985307.241142,14588674.8365571
"220",10470332.6235696,15793210.8558162,14682572.1068662
"221",10554405.2616956,15890345.4942219,14811051.8500368
"222",10605687.8463337,15860426.5976003,14827974.5158593
"223",10587250.3334729,15768055.4574213,14793069.220154
"224",10582697.6066053,15451250.8552713,14917862.961068
"225",10495533.8455676,15440449.2590289,14999293.1597239
"226",10458586.3426804,15672387.2304379,15099169.4773906
"227",10487313.3133466,15667214.2617779,15023061.980185
"228",10499270.5516608,15559472.2265609,15289918.1712865
"229",10632730.180489,15213498.7498363,15131594.4957229
"230",10549070.0857421,15285418.266699,15574041.0743254
"231",10611107.1364216,15399819.1327425,15645896.3199234
"232",10639936.0293097,15478082.8490031,15452341.4087143
"233",10240658.1372827,15429524.4750964,15373865.7303653
"234",10223873.5503675,15055861.3015785,15395071.8554501
"235",10259291.0409673,15041465.508883,15329323.2650953
"236",10426036.7383462,14811975.3234871,15241296.259551
"237",10259444.3328645,14706784.9199268,15059029.2690777
"238",10177822.981432,14857576.2350665,14945813.2888035
"239",10348207.6494127,14859956.495509,14891520.7228669
"240",10120492.6624603,14917027.5920394,14785554.5651455
"241",10101505.4725823,14783376.8150541,14816404.1828616
"242",10040470.3811262,14915243.3389348,14844043.0679555
"243",10013185.6292455,14892213.5056648,14868590.9330992
"244",10098865.2998968,15038471.6436859,14815907.7406915
"245",9994356.49278354,15277731.0849935,14900130.8279356
"246",9950581.23544998,15364729.4132887,14926338.2001661
"247",9933291.57360239,15107745.4136967,15136498.2802722
"248",10102392.2604655,15382057.967558,15319286.7810464
"249",10114760.9338319,15490573.7211869,15133658.2043868
"250",10018091.3721152,15537537.2488671,14990031.0122607
"251",10101552.092432,15684795.281153,15257260.1776888
"252",10003817.5220941,15656869.7584342,15400934.3271172
"253",9862502.63423042,15669098.3674316,15273473.5031101
