"","wm_m2.cases","wm_m2","wm_m2"
"176",15.6182611072674,20.2167206201847,14.2139844751966
"177",15.5765339502323,20.4770345048582,14.3202506025582
"178",15.7502030348919,20.6072063247002,14.2895594394604
"179",15.9663024737775,20.6225701706476,14.175345360376
"180",15.9554731947551,20.6245212932289,14.0860461263455
"181",15.6045610433417,20.5344465576347,14.1189650289378
"182",15.1607242628205,20.3528361137397,14.2066303338041
"183",15.0763365528823,20.3075788826444,14.1847108036207
"184",15.340846543469,20.1706876630578,14.0650320290038
"185",15.6661130524141,20.0168312012438,14.0793353318238
"186",15.8288351481969,20.0103233861794,14.2910876341269
"187",15.7911212961399,20.1614335804279,14.5063524340789
"188",15.7913756539053,20.268376119005,14.5883106301671
"189",15.9447601313598,20.3632597712978,14.5603985822431
"190",16.1092029502958,20.4993498138357,14.4796241012503
"191",16.1816342022304,20.6127389871736,14.2695794380661
"192",16.0185615904061,20.7396649334194,14.0358864971377
"193",15.6158890961769,20.6682678117463,14.0482307008163
"194",15.2321548915667,20.5989972663009,14.1210444691609
"195",15.0755853575303,20.7866898409892,14.0273089571247
"196",15.213101414577,20.8406322300767,14.0376007693596
"197",15.5965934028088,20.6338684787255,14.3754106406356
"198",15.9815033842112,20.2883810224657,14.7334766150942
"199",16.1373151714127,20.0276125836924,14.7223451456659
"200",16.0413979178536,20.0815094652938,14.4199270443432
"201",15.7562435395748,20.377907890778,14.2082901705122
"202",15.5201525223012,20.4591956017735,14.220622304511
"203",15.5014951287085,20.3552498927708,14.290744343461
"204",15.6364576281437,20.5045567404684,14.259738686505
"205",15.8058751440857,20.8102427475248,14.2046584433165
"206",15.8866664086007,20.7807268712281,14.2416419555288
"207",15.8342175072419,20.3778208793856,14.3120386884801
"208",15.6658964001353,20.1040172559134,14.2629226253871
"209",15.4751178614521,20.4057294530434,14.0928833916944
"210",15.3606834549169,20.8160307691594,13.8996101209315
"211",15.3810737240549,20.7846123657864,13.9013411856746
"212",15.6075041510595,20.3160847656986,14.1491612843624
"213",15.9172243739847,19.9490505579629,14.2985244879941
"214",16.0760979863149,20.1148270429436,14.2310179114454
"215",15.9600096922713,20.5107252672743,14.1819664171198
"216",15.6627307472416,20.875696178139,14.2630210118054
"217",15.5317646865056,20.9749125643066,14.3893300343561
"218",15.5933059997015,20.8583652280879,14.4622751423036
"219",15.6725434703253,20.6552402300603,14.460537150394
"220",15.7252225024514,20.369816781508,14.4213528340368
"221",15.7854396123809,20.3995033000306,14.3480400958051
"222",15.8609062558019,20.6185136146988,14.2862102123727
"223",15.7982490608902,20.7291068324591,14.3131116491763
"224",15.723231433179,20.6251000436855,14.3850427604468
"225",15.7816553978639,20.3597653153711,14.3599971258451
"226",15.8487832967229,20.17792850667,14.1931715719052
"227",15.8096509882422,20.1893768046374,14.0240074910909
"228",15.6216249358389,20.4685584650045,14.0610126039806
"229",15.452834343472,20.6098494712498,14.3083553140339
"230",15.44896489479,20.3742275966119,14.4224945826094
"231",15.6033724152046,20.1554219076719,14.2232706530718
"232",15.8279987201078,20.2139785206593,14.0678406537819
"233",16.0043849938926,20.2210999235743,14.163108336598
"234",16.0512267340672,20.2948860012182,14.2474509615647
"235",15.8577037788573,20.4182274970622,14.2070268974972
"236",15.515714789627,20.5281744154645,14.1728290980286
"237",15.2977779335343,20.6855294454355,14.1906771390901
"238",15.3469959647988,20.7567007744552,14.2324584071449
"239",15.6395651117437,20.6432631058555,14.2240410197278
"240",15.967058656517,20.3279995152801,14.1997166749294
"241",16.0873095021669,19.9882400694056,14.2871497556171
"242",15.8813492534769,20.0139622807791,14.4530028728049
"243",15.5644798839879,20.3071246768453,14.5771048222691
"244",15.4687460067615,20.5573756465527,14.4683919171008
"245",15.6089360170956,20.6257135730589,14.1828933493118
"246",15.7963432030097,20.6722587318801,14.0790091067003
"247",15.8994830249895,20.7795029471327,14.1837239683758
"248",15.9159445558581,20.5444100360714,14.2587344405694
"249",15.7885115248397,20.2192105682132,14.2591048818229
"250",15.5373288191073,20.0984966384567,14.2304896906871
"251",15.3428379438212,20.1903594368556,14.1527224251362
"252",15.3128075401401,20.4501638032114,14.0524967161333
"253",15.3852396286438,20.7138181747239,14.0436822806151
